"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2019","168.69","169.00","169.34","168.40","","-0.18%"
"03/07/2019","169.00","168.11","169.16","167.94","","0.52%"
"03/06/2019","168.12","167.85","168.60","167.81","","0.17%"
"03/05/2019","167.84","167.92","168.37","167.77","","-0.06%"
"03/04/2019","167.94","168.18","168.47","167.72","","-0.12%"
"03/01/2019","168.15","168.11","168.23","167.66","","-0.02%"
"02/28/2019","168.19","167.21","168.53","167.00","","0.58%"
"02/27/2019","167.22","166.58","167.81","166.47","","0.43%"
"02/26/2019","166.50","166.77","167.36","166.37","","-0.20%"
"02/25/2019","166.84","167.35","168.15","166.75","","-0.25%"
"02/22/2019","167.25","167.59","167.88","167.00","","-0.14%"
"02/21/2019","167.49","167.04","168.13","166.85","","0.22%"
"02/20/2019","167.12","166.16","167.39","166.00","","0.58%"
"02/19/2019","166.15","166.46","166.97","166.09","","-0.19%"
"02/18/2019","166.46","166.22","166.73","165.92","","0.09%"
"02/15/2019","166.31","166.42","166.95","166.23","","-0.01%"
"02/14/2019","166.32","166.50","166.80","166.12","","-0.11%"
"02/13/2019","166.50","165.51","166.59","165.41","","0.59%"
"02/12/2019","165.53","165.77","166.16","165.45","","-0.15%"
"02/11/2019","165.78","166.63","166.88","165.56","","-0.56%"
"02/08/2019","166.72","166.76","167.23","166.24","","-0.02%"
"02/07/2019","166.76","166.32","167.13","166.12","","0.26%"
"02/06/2019","166.32","165.70","166.41","165.64","","0.40%"
"02/05/2019","165.65","166.03","166.41","165.58","","-0.23%"
"02/04/2019","166.04","165.90","166.56","165.81","","0.05%"
"02/01/2019","165.96","165.94","166.59","165.63","","-0.03%"
"01/31/2019","166.01","165.42","166.54","165.19","","0.36%"
"01/30/2019","165.42","166.11","166.76","165.17","","-0.38%"
"01/29/2019","166.05","165.90","166.43","165.55","","0.10%"
"01/28/2019","165.88","165.75","166.22","165.52","","0.04%"
"01/25/2019","165.81","166.21","166.43","165.50","","-0.28%"
"01/24/2019","166.27","165.92","166.82","165.82","","0.25%"
"01/23/2019","165.85","166.27","166.42","165.75","","-0.23%"
"01/22/2019","166.24","166.68","166.76","165.93","","-0.38%"
"01/21/2019","166.88","166.19","166.91","165.84","","0.46%"
"01/18/2019","166.12","165.67","166.19","165.30","","0.27%"
"01/17/2019","165.68","165.86","166.35","165.27","","-0.12%"
"01/16/2019","165.88","166.08","166.48","165.48","","-0.13%"
"01/15/2019","166.09","165.75","166.38","165.41","","0.21%"
"01/14/2019","165.75","165.34","166.53","165.30","","0.24%"
"01/11/2019","165.35","164.73","165.81","164.60","","0.42%"
