Date,Export,Taiwan,CPI,CNY,USD
01/01/1997,109,96,4.44,,
01/02/1997,98,78,4.44,,
01/03/1997,90,74,4.44,,
01/04/1997,101,87,4.44,,
01/05/1997,118,89,4.44,,
01/06/1997,120,82,4.44,,
01/07/1997,126,90,4.44,,
01/08/1997,110,95,4.44,,
01/09/1997,90,94,4.44,,
01/10/1997,106,94,4.44,,
01/11/1997,96,99,4.44,,
01/12/1997,98,95,4.44,,
01/01/1998,56,95,7.51,,
01/02/1998,44,93,7.51,,
01/03/1998,57,101,7.51,,
01/04/1998,65,92,7.51,,
01/05/1998,56,68,7.51,,
01/06/1998,64,68,7.51,,
01/07/1998,55,66,7.51,,
01/08/1998,44,66,7.51,,
01/09/1998,61,64,7.51,,
01/10/1998,61,70,7.51,,
01/11/1998,67,63,7.51,,
01/12/1998,65,68,7.51,,
01/01/1999,58,65,0.81,,
01/02/1999,63,77,0.81,,
01/03/1999,76,75,0.81,,
01/04/1999,69,75,0.81,,
01/05/1999,72,70,0.81,,
01/06/1999,92,82,0.81,,
01/07/1999,70,76,0.81,,
01/08/1999,80,69,0.81,,
01/09/1999,72,80,0.81,,
01/10/1999,76,70,0.81,,
01/11/1999,90,82,0.81,,
01/12/1999,82,65,0.81,,
01/01/2000,79,83,2.26,,
01/02/2000,107,83,2.26,,
01/03/2000,98,86,2.26,,
01/04/2000,102,82,2.26,,
01/05/2000,85,91,2.26,,
01/06/2000,116,83,2.26,,
01/07/2000,100,94,2.26,,
01/08/2000,102,88,2.26,,
01/09/2000,107,95,2.26,,
01/10/2000,115,91,2.26,,
01/11/2000,94,92,2.26,,
01/12/2000,107,82,2.26,,
01/01/2001,113,96,4.07,,
01/02/2001,91,94,4.07,,
01/03/2001,108,88,4.07,,
01/04/2001,95,84,4.07,,
01/05/2001,101,63,4.07,,
01/06/2001,122,71,4.07,,
01/07/2001,113,56,4.07,,
01/08/2001,105,74,4.07,,
01/09/2001,93,65,4.07,,
01/10/2001,101,71,4.07,,
01/11/2001,116,59,4.07,,
01/12/2001,103,67,4.07,,
01/01/2002,110,70,2.76,,
01/02/2002,104,65,2.76,,
01/03/2002,115,106,2.76,,
01/04/2002,141,79,2.76,,
01/05/2002,158,78,2.76,,
01/06/2002,131,57,2.76,,
01/07/2002,159,80,2.76,,
01/08/2002,122,92,2.76,,
01/09/2002,101,66,2.76,,
01/10/2002,124,67,2.76,,
01/11/2002,98,71,2.76,,
01/12/2002,136,74,2.76,,
01/01/2003,130,84,3.51,,
01/02/2003,128,66,3.51,,
01/03/2003,131,62,3.51,,
01/04/2003,146,95,3.51,,
01/05/2003,119,71,3.51,,
01/06/2003,96,55,3.51,,
01/07/2003,112,77,3.51,,
01/08/2003,129,76,3.51,,
01/09/2003,113,79,3.51,,
01/10/2003,131,90,3.51,,
01/11/2003,99,89,3.51,,
01/12/2003,157,81,3.51,,
01/01/2004,93,79,3.59,,
01/02/2004,119,90,3.59,,
01/03/2004,122,75,3.59,,
01/04/2004,117,73,3.59,,
01/05/2004,116,91,3.59,,
01/06/2004,115,72,3.59,,
01/07/2004,137,88,3.59,,
01/08/2004,131,83,3.59,,
01/09/2004,123,85,3.59,,
01/10/2004,108,81,3.59,,
01/11/2004,143,85,3.59,,
01/12/2004,160,84,3.59,,
01/01/2005,123,80,2.75,,
01/02/2005,112,81,2.75,,
01/03/2005,158,65,2.75,,
01/04/2005,149,88,2.75,,
