Date,Price,Open,High,Low,Vol.,Change %
6/1/09,0.5346,0.5435,0.5549,0.52,,-1.64%
7/1/09,0.5576,0.5346,0.5579,0.5148,,4.30%
8/1/09,0.5453,0.5571,0.5621,0.5352,,-2.21%
9/1/09,0.5802,0.5453,0.5804,0.5448,,6.40%
10/1/09,0.5754,0.5802,0.5923,0.5697,,-0.83%
11/1/09,0.5857,0.58,0.5924,0.5727,,1.79%
12/1/09,0.5855,0.5857,0.5934,0.5756,,-0.03%
1/1/10,0.5876,0.5855,0.6099,0.5855,,0.36%
2/1/10,0.5885,0.5876,0.5987,0.5822,,0.15%
3/1/10,0.6027,0.5885,0.6031,0.5882,,2.41%
4/1/10,0.6158,0.6159,0.618,0.6101,,2.17%
5/1/10,0.5681,0.6022,0.612,0.5345,,-7.75%
6/1/10,0.5548,0.5681,0.5788,0.5461,,-2.34%
7/1/10,0.5727,0.5548,0.573,0.5381,,3.23%
8/1/10,0.568,0.5727,0.5831,0.568,,-0.82%
9/1/10,0.587,0.568,0.587,0.568,,3.35%
10/1/10,0.593,0.587,0.6004,0.587,,1.02%
11/1/10,0.5758,0.593,0.6016,0.5705,,-2.90%
12/1/10,0.5877,0.5758,0.5879,0.5707,,2.07%
1/1/11,0.5901,0.5837,0.5946,0.5837,,0.41%
2/1/11,0.5847,0.5901,0.5954,0.5802,,-0.92%
3/1/11,0.5962,0.5847,0.5962,0.5778,,1.97%
4/1/11,0.6071,0.5962,0.6071,0.5962,,1.83%
5/1/11,0.6007,0.6071,0.6091,0.5895,,-1.05%
6/1/11,0.6038,0.6007,0.6038,0.5931,,0.52%
7/1/11,0.6104,0.6038,0.62,0.5529,,1.09%
8/1/11,0.5991,0.6104,0.6129,0.587,,-1.85%
9/1/11,0.5404,0.5991,0.601,0.5354,,-9.80%
10/1/11,0.5712,0.5404,0.5766,0.5364,,5.70%
11/1/11,0.559,0.5712,0.5712,0.5478,,-2.14%
12/1/11,0.5428,0.559,0.5654,0.539,,-2.90%
1/1/12,0.5602,0.5428,0.5659,0.5422,,3.21%
2/1/12,0.5623,0.5602,0.5668,0.5549,,0.37%
3/1/12,0.5564,0.5623,0.5668,0.5521,,-1.05%
4/1/12,0.5583,0.5564,0.5616,0.5497,,0.34%
5/1/12,0.5395,0.5583,0.5598,0.5346,,-3.37%
6/1/12,0.5567,0.5395,0.5573,0.5379,,3.19%
7/1/12,0.5627,0.5548,0.5645,0.5506,,1.08%
8/1/12,0.5601,0.5627,0.5678,0.5584,,-0.46%
9/1/12,0.5645,0.5601,0.5666,0.5423,,0.79%
10/1/12,0.5693,0.5645,0.5713,0.5562,,0.85%
2/1/13,0.574,0.5778,0.5827,0.5709,,0.83%
3/1/13,0.5583,0.574,0.5746,0.5546,,-2.74%
4/1/13,0.5596,0.5583,0.5605,0.5418,,0.23%
5/1/13,0.5423,0.5596,0.5677,0.5401,,-3.09%
6/1/13,0.5375,0.5425,0.5541,0.528,,-0.89%
7/1/13,0.5454,0.5375,0.5531,0.5325,,1.47%
8/1/13,0.5511,0.5454,0.5523,0.5419,,1.05%
9/1/13,0.5697,0.5527,0.5732,0.5454,,3.38%
10/1/13,0.5743,0.5697,0.5769,0.5683,,0.81%
11/1/13,0.5757,0.5743,0.5778,0.5669,,0.24%
12/1/13,0.5736,0.5757,0.5781,0.5708,,-0.36%
1/1/14,0.5605,0.5736,0.5765,0.5577,,-2.28%
2/1/14,0.5764,0.5631,0.5788,0.5564,,2.84%
3/1/14,0.5838,0.5764,0.5845,0.5714,,1.28%
4/1/14,0.6056,0.5838,0.609,0.5838,,3.73%
5/1/14,0.6121,0.6056,0.6134,0.6039,,1.07%
6/1/14,0.613,0.6121,0.616,0.6078,,0.15%
7/1/14,0.6006,0.613,0.6177,0.5993,,-2.02%
8/1/14,0.606,0.6006,0.6104,0.5915,,0.90%
9/1/14,0.5819,0.606,0.6089,0.5815,,-3.98%
10/1/14,0.5694,0.5819,0.5872,0.5685,,-2.15%
11/1/14,0.553,0.5752,0.5752,0.5478,,-2.88%
12/1/14,0.5673,0.553,0.5737,0.5481,,2.59%
1/1/15,0.567,0.5673,0.5808,0.554,,-0.05%
2/1/15,0.5692,0.567,0.5765,0.559,,0.39%
3/1/15,0.5591,0.5692,0.5732,0.5449,,-1.77%
4/1/15,0.5754,0.5591,0.5833,0.5591,,2.92%
5/1/15,0.557,0.5754,0.5756,0.5557,,-3.20%
6/1/15,0.5539,0.557,0.5655,0.5492,,-0.56%
7/1/15,0.5321,0.5539,0.5554,0.5283,,-3.94%
8/1/15,0.539,0.5321,0.5484,0.5225,,1.30%
9/1/15,0.5361,0.539,0.5496,0.5266,,-0.54%
10/1/15,0.5537,0.5361,0.5683,0.5361,,3.28%
11/1/15,0.5514,0.5537,0.5619,0.5426,,-0.42%
12/1/15,0.5519,0.5514,0.5568,0.5379,,0.09%
1/1/16,0.5477,0.5519,0.5539,0.5391,,-0.76%
2/1/16,0.5293,0.5477,0.5558,0.5251,,-3.36%
3/1/16,0.5646,0.5291,0.5691,0.5285,,6.67%
4/1/16,0.5657,0.5646,0.5751,0.556,,0.19%
5/1/16,0.5531,0.5656,0.5712,0.5476,,-2.23%
6/1/16,0.5769,0.5531,0.5789,0.5498,,4.30%
7/1/16,0.5973,0.5769,0.5975,0.5731,,3.54%
8/1/16,0.5988,0.5973,0.6087,0.5906,,0.25%
9/1/16,0.6054,0.5988,0.6131,0.5884,,1.10%
10/1/16,0.5921,0.6018,0.6104,0.5875,,-2.19%
11/1/16,0.5838,0.5921,0.6021,0.5757,,-1.40%
12/1/16,0.5756,0.5838,0.6416,0.5729,,-1.41%
1/1/17,0.598,0.5769,0.5994,0.5722,,3.90%
2/1/17,0.6036,0.598,0.6105,0.5939,,0.93%
3/1/17,0.6165,0.6036,0.6211,0.5948,,2.14%
4/1/17,0.6082,0.6165,0.6193,0.5997,,-1.35%
5/1/17,0.6081,0.6082,0.6184,0.6037,,-0.02%
6/1/17,0.5919,0.6081,0.6096,0.5907,,-2.66%
7/1/17,0.6007,0.5916,0.6075,0.587,,1.49%
8/1/17,0.586,0.6007,0.6023,0.5796,,-2.45%
9/1/17,0.581,0.586,0.5871,0.5698,,-0.86%
10/1/17,0.5931,0.581,0.5951,0.5781,,2.09%
11/1/17,0.6076,0.5931,0.6141,0.5911,,2.44%
12/1/17,0.6116,0.6076,0.6123,0.6028,,0.66%
1/1/18,0.5878,0.6116,0.6137,0.587,,-3.90%
2/1/18,0.5828,0.5878,0.598,0.5734,,-0.85%
3/1/18,0.5928,0.5828,0.597,0.5814,,1.71%
4/1/18,0.5917,0.5917,0.5972,0.5826,,-0.18%
5/1/18,0.5931,0.5917,0.5968,0.5875,,0.24%
6/1/18,0.5938,0.5931,0.6004,0.5795,,0.13%
7/1/18,0.612,0.5938,0.614,0.5895,,3.05%
8/1/18,0.6123,0.612,0.617,0.6042,,0.06%
9/1/18,0.6191,0.6126,0.6216,0.6025,,1.11%
10/1/18,0.6109,0.6191,0.6191,0.6047,,-1.34%
11/1/18,0.6212,0.6109,0.6223,0.6085,,1.70%
