"Title","Trade in Goods: Taiwan: Total: Exports: BOP: CP: SA"
"CDID","ERDP"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","15-08-2024"
"Next release","11 September 2024"
"Important notes",
"1997","1073"
"1998","914"
"1999","886"
"2000","1050"
"2001","888"
"2002","905"
"2003","925"
"2004","986"
"2005","950"
"2006","924"
"2007","969"
"2008","861"
"2009","766"
"2010","1109"
"2011","1415"
"2012","1110"
"2013","1176"
"2014","1098"
"2015","1209"
"2016","1185"
"2017","1222"
"2018","1379"
"2019","1428"
"2020","1385"
"2021","1494"
"2022","1793"
"2023","1899"
"1997 Q1","248"
"1997 Q2","258"
"1997 Q3","279"
"1997 Q4","288"
"1998 Q1","289"
"1998 Q2","228"
"1998 Q3","196"
"1998 Q4","201"
"1999 Q1","217"
"1999 Q2","227"
"1999 Q3","225"
"1999 Q4","217"
"2000 Q1","252"
"2000 Q2","256"
"2000 Q3","277"
"2000 Q4","265"
"2001 Q1","278"
"2001 Q2","218"
"2001 Q3","195"
"2001 Q4","197"
"2002 Q1","241"
"2002 Q2","214"
"2002 Q3","238"
"2002 Q4","212"
"2003 Q1","212"
"2003 Q2","221"
"2003 Q3","232"
"2003 Q4","260"
"2004 Q1","244"
"2004 Q2","236"
"2004 Q3","256"
"2004 Q4","250"
"2005 Q1","226"
"2005 Q2","257"
"2005 Q3","229"
"2005 Q4","238"
"2006 Q1","218"
"2006 Q2","231"
"2006 Q3","225"
"2006 Q4","250"
"2007 Q1","248"
"2007 Q2","255"
"2007 Q3","231"
"2007 Q4","235"
"2008 Q1","216"
"2008 Q2","244"
"2008 Q3","219"
"2008 Q4","182"
"2009 Q1","178"
"2009 Q2","179"
"2009 Q3","200"
"2009 Q4","209"
"2010 Q1","227"
"2010 Q2","277"
"2010 Q3","307"
"2010 Q4","298"
"2011 Q1","368"
"2011 Q2","379"
"2011 Q3","321"
"2011 Q4","347"
"2012 Q1","273"
"2012 Q2","275"
"2012 Q3","306"
"2012 Q4","256"
"2013 Q1","282"
"2013 Q2","314"
"2013 Q3","271"
"2013 Q4","309"
"2014 Q1","254"
"2014 Q2","270"
"2014 Q3","314"
"2014 Q4","260"
"2015 Q1","279"
"2015 Q2","390"
"2015 Q3","269"
"2015 Q4","271"
"2016 Q1","277"
"2016 Q2","267"
"2016 Q3","322"
"2016 Q4","319"
"2017 Q1","302"
"2017 Q2","297"
"2017 Q3","316"
"2017 Q4","307"
"2018 Q1","317"
"2018 Q2","378"
"2018 Q3","339"
