Macrotrends Data Download

South Korea Inflation Rate 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,7.9656
1961-12-31,8.1957,0.23
1962-12-31,6.6183,-1.58
1963-12-31,20.6916,14.07
1964-12-31,29.4628,8.77
1965-12-31,13.5482,-15.91
1966-12-31,11.2614,-2.29
1967-12-31,10.8824,-0.38
1968-12-31,10.7718,-0.11
1969-12-31,12.3896,1.62
1970-12-31,15.9503,3.56
1971-12-31,13.5117,-2.44
1972-12-31,11.689,-1.82
1973-12-31,3.221,-8.47
1974-12-31,24.3042,21.08
1975-12-31,25.2493,0.95
1976-12-31,15.3273,-9.92
1977-12-31,10.0967,-5.23
1978-12-31,14.4603,4.36
1979-12-31,18.3235,3.86
1980-12-31,28.6976,10.37
1981-12-31,21.3516,-7.35
1982-12-31,7.1908,-14.16
1983-12-31,3.4206,-3.77
1984-12-31,2.274,-1.15
1985-12-31,2.4591,0.19
1986-12-31,2.75,0.29
1987-12-31,3.0497,0.3
1988-12-31,7.1461,4.1
1989-12-31,5.7002,-1.45
1990-12-31,8.5733,2.87
1991-12-31,9.3328,0.76
1992-12-31,6.2133,-3.12
1993-12-31,4.801,-1.41
1994-12-31,6.2659,1.46
1995-12-31,4.4807,-1.79
1996-12-31,4.9245,0.44
1997-12-31,4.4389,-0.49
1998-12-31,7.5136,3.07
1999-12-31,0.813,-6.7
2000-12-31,2.2592,1.45
2001-12-31,4.0666,1.81
2002-12-31,2.7623,-1.3
2003-12-31,3.5149,0.75
2004-12-31,3.5907,0.08
2005-12-31,2.7538,-0.84
2006-12-31,2.2423,-0.51
2007-12-31,2.5346,0.29
2008-12-31,4.6739,2.14
2009-12-31,2.7565,-1.92
2010-12-31,2.9393,0.18
2011-12-31,4.026,1.09
2012-12-31,2.1871,-1.84
2013-12-31,1.3013,-0.89
2014-12-31,1.2748,-0.03
2015-12-31,0.7063,-0.57
2016-12-31,0.9717,0.27
2017-12-31,1.9443,0.97
2018-12-31,1.4758,-0.47
2019-12-31,0.383,-1.09
2020-12-31,0.5373,0.15
2021-12-31,2.4983,1.96
2022-12-31,5.0879,2.59
