Macrotrends Data Download

South Korea Tariff Rates 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Applied, Weighted Mean, All Products (%), Annual Change, 
1960-12-31,0
1961-12-31,0,0
1962-12-31,0,0
1963-12-31,0,0
1964-12-31,0,0
1965-12-31,0,0
1966-12-31,0,0
1967-12-31,0,0
1968-12-31,0,0
1969-12-31,0,0
1970-12-31,0,0
1971-12-31,0,0
1972-12-31,0,0
1973-12-31,0,0
1974-12-31,0,0
1975-12-31,0,0
1976-12-31,0,0
1977-12-31,0,0
1978-12-31,0,0
1979-12-31,0,0
1980-12-31,0,0
1981-12-31,0,0
1982-12-31,0,0
1983-12-31,0,0
1984-12-31,0,0
1985-12-31,0,0
1986-12-31,0,0
1987-12-31,0,0
1988-12-31,13.95,13.95
1989-12-31,10.61,-3.34
1990-12-31,9.54,-1.07
1991-12-31,0,-9.54
1992-12-31,8.53,8.53
1993-12-31,0,-8.53
1994-12-31,0,0
1995-12-31,6.84,6.84
1996-12-31,15.02,8.18
1997-12-31,13.45,-1.57
1998-12-31,13.61,0.16
1999-12-31,5.9,-7.71
2000-12-31,9.55,3.65
2001-12-31,10.41,0.86
2002-12-31,9.98,-0.43
2003-12-31,9.7,-0.28
2004-12-31,9.25,-0.45
2005-12-31,7.95,-1.3
2006-12-31,7.43,-0.52
2007-12-31,7.13,-0.3
2008-12-31,8.26,1.13
2009-12-31,7.8,-0.46
2010-12-31,7.19,-0.61
2011-12-31,7.32,0.13
2012-12-31,7.59,0.27
2013-12-31,7.85,0.26
2014-12-31,6.1,-1.75
2015-12-31,5.72,-0.38
2016-12-31,8.67,2.95
2017-12-31,5.05,-3.62
2018-12-31,4.83,-0.22
2019-12-31,0,-4.83
2020-12-31,5.48,5.48
2021-12-31,4.85,-0.63
2022-12-31,0,-4.85
